"Allg. Adresse: Betreuer Anrede";"Allg. Adresse: Betreuer Vorname";"Allg. Adresse: Betreuer Name";"Allg. Adresse: Betreuer E-Mail";"Allg. Adresse: Betreuer Telefon";"Allg. Adresse: Betreuer Abteilung";"Allg. Adresse: Betreuer Titel";"Allg. Adresse: Name1";"Allg. Adresse: Fax-Nr.";"Allg. Adresse: Vertragsbeginn";"Allg. Adresse: Vertragsende";"Interne ID-Nummer";"Nachname";"Vorname";"Klasse"
"Herr";"Klaus";"Demoster";"klaus.demoster@firma.example";"0123-9000003";"Lehrwerkstatt";;"Demo-Werke GmbH";;01.08.2024;31.07.2027;1028;"Beispiel";"Vera";"BK01B"
"Herr";"Sven";"Software";"s.software@firma.example";"0123-9000008";"HR";;"Demo IT-Services";;01.08.2024;31.07.2027;1030;"Demohaus";"Sophie";"BK01B"
"Frau";"Sabine";"Sampleberg";"s.sampleberg@firma.example";"0123-9000004";"Spedition";;"Sample Logistics";;01.08.2023;31.07.2027;1031;"Demonstrant";"Dora";"BK02A"
"Herr";"Stefan";"Schmitz";"s.schmitz@firma.example";"0123-9000002";"Personal";;"Beispiel AG";;01.08.2023;31.07.2027;1032;"Probemann";"Simon";"BK02A"
"Frau";"Tanja";"Tester";"t.tester@firma.example";"0123-9000006";"HR";;"Test-Industrie eG";;01.08.2023;31.07.2027;1033;"Demohaus";"Julia";"BK02A"
"Frau";"Tanja";"Tester";"t.tester@firma.example";"0123-9000006";"HR";;"Test-Industrie eG";;01.08.2023;31.07.2027;1034;"Musterstein";"Ida";"BK02A"
"Herr";"Tobias";"Techberg";"t.techberg@firma.example";"0123-9000010";"Personal";;"Beispiel Tech AG";;01.08.2023;31.07.2027;1035;"Demoschüler";"Ingo";"BK02A"
"Frau";"Tanja";"Tester";"t.tester@firma.example";"0123-9000006";"HR";;"Test-Industrie eG";;01.08.2023;31.07.2027;1036;"Musterhuber";"Kai";"BK02A"
"Frau";"Tanja";"Tester";"t.tester@firma.example";"0123-9000006";"HR";;"Test-Industrie eG";;01.08.2024;12.07.2026;1037;"Probierdorf";"Zoe";"BK02A"
"Frau";"Petra";"Mustermann";"petra.mustermann@firma.example";"0123-9000001";"Ausbildung";;"Mustermann GmbH";;01.08.2023;31.07.2027;1038;"Probst";"Zeno";"BK02A"
"Herr";"Tobias";"Techberg";"t.techberg@firma.example";"0123-9000010";"Personal";;"Beispiel Tech AG";;01.08.2023;31.07.2027;1039;"Testmeier";"Andreas";"BK02A"
"Herr";"Klaus";"Demoster";"klaus.demoster@firma.example";"0123-9000003";"Lehrwerkstatt";;"Demo-Werke GmbH";;01.08.2023;31.07.2027;1040;"Testheim";"Inga";"BK02A"
"Frau";"Petra";"Probemann";"p.probemann@firma.example";"0123-9000011";"Ausbildung";;"Probierwerk Süd";;01.08.2023;31.07.2027;1041;"Probierdorf";"Marie";"BK02A"
"Herr";"Tobias";"Techberg";"t.techberg@firma.example";"0123-9000010";"Personal";;"Beispiel Tech AG";;01.08.2023;31.07.2027;1042;"Musterling";"Zoe";"BK02A"
"Herr";"Hans";"Probier";"h.probier@firma.example";"0123-9000005";"Geschäftsführung";;"Probe & Söhne KG";;01.08.2023;31.07.2027;1043;"Beispielson";"Rita";"BK02A"
"Herr";"Stefan";"Schmitz";"s.schmitz@firma.example";"0123-9000002";"Personal";;"Beispiel AG";;01.08.2023;31.07.2027;1044;"Beispiel";"Diana";"BK02A"
"Herr";"Bert";"Bauer";"b.bauer@firma.example";"0123-9000007";"Personalbüro";;"Beispiel-Bau OHG";;01.08.2023;31.07.2027;1045;"Beispielberg";"Zoe";"BK02A"
"Herr";"Klaus";"Demoster";"klaus.demoster@firma.example";"0123-9000003";"Lehrwerkstatt";;"Demo-Werke GmbH";;01.08.2023;31.07.2027;1047;"Sampleberg";"Frank";"BK02B"
"Frau";"Petra";"Mustermann";"petra.mustermann@firma.example";"0123-9000001";"Ausbildung";;"Mustermann GmbH";;01.08.2023;31.07.2027;1048;"Musterbach";"Nele";"BK02B"
"Herr";"Klaus";"Demoster";"klaus.demoster@firma.example";"0123-9000003";"Lehrwerkstatt";;"Demo-Werke GmbH";;01.08.2023;31.07.2027;1049;"Musterling";"Simon";"BK02B"
"Herr";"Tobias";"Techberg";"t.techberg@firma.example";"0123-9000010";"Personal";;"Beispiel Tech AG";;01.08.2024;12.07.2026;1050;"Demohaus";"Rita";"BK02B"
"Frau";"Lisa";"Lieferman";"l.lieferman@firma.example";"0123-9000009";"Personal";;"Mustermann Logistik";;01.08.2023;31.07.2027;1051;"Demosohn";"Mara";"BK02B"
"Frau";"Petra";"Mustermann";"petra.mustermann@firma.example";"0123-9000001";"Ausbildung";;"Mustermann GmbH";;01.08.2023;31.07.2027;1052;"Musterbach";"Johanna";"BK02B"
"Frau";"Petra";"Probemann";"p.probemann@firma.example";"0123-9000011";"Ausbildung";;"Probierwerk Süd";;01.08.2023;31.07.2027;1053;"Sampleberg";"Robert";"BK02B"
"Frau";"Lisa";"Lieferman";"l.lieferman@firma.example";"0123-9000009";"Personal";;"Mustermann Logistik";;01.08.2023;31.07.2027;1054;"Sample";"Ingo";"BK02B"
"Herr";"Tobias";"Techberg";"t.techberg@firma.example";"0123-9000010";"Personal";;"Beispiel Tech AG";;01.08.2023;31.07.2027;1055;"Musterbach";"Jonas";"BK02B"
"Herr";"Sven";"Software";"s.software@firma.example";"0123-9000008";"HR";;"Demo IT-Services";;01.08.2023;31.07.2027;1056;"Testmeier";"Ivo";"BK02B"
"Herr";"Stefan";"Schmitz";"s.schmitz@firma.example";"0123-9000002";"Personal";;"Beispiel AG";;01.08.2023;31.07.2027;1057;"Beispiel";"Sophie";"BK02B"
"Frau";"Petra";"Probemann";"p.probemann@firma.example";"0123-9000011";"Ausbildung";;"Probierwerk Süd";;01.08.2023;31.07.2027;1058;"Beispiel";"Georg";"BK02B"
"Herr";"Hans";"Probier";"h.probier@firma.example";"0123-9000005";"Geschäftsführung";;"Probe & Söhne KG";;01.08.2023;31.07.2027;1059;"Demonstrant";"Dieter";"BK02B"
"Frau";"Lisa";"Lieferman";"l.lieferman@firma.example";"0123-9000009";"Personal";;"Mustermann Logistik";;01.08.2023;31.07.2027;1060;"Musterstein";"Amelie";"BK02B"
