"Interne ID-Nummer";"Erzieher 1: Anrede";"Erzieher 1: Briefanrede";"Erzieher 1: Titel";"Erzieher 1: Nachname";"Erzieher 1: Vorname";"Erzieher 1: E-Mail";"Erzieher 2: Anrede";"Erzieher 2: Briefanrede";"Erzieher 2: Titel";"Erzieher 2: Nachname";"Erzieher 2: Vorname";"Erzieher 2: E-Mail";"Erzieher: Art (Import/Export-Bez.)";"Erzieher: Art (Klartext)";"Erzieher: Erhält Anschreiben";"Erzieher: Ort";"Erzieher: Ortsteil";"Erzieher: Postleitzahl";"Erzieher: Straße";"Telefon-Nummern: Anschluss-Art";"Telefon-Nummern: Bemerkung";"Telefon-Nummern: Telefon-Nummer";"Telefon-Nr."
1025;"Frau";"Sehr geehrte/r Frau Musterbach";;"Musterbach";"Sabine";"sabine.musterbach@example.com";"Herr";"Sehr geehrte/r Herr Musterbach";;"Musterbach";"Ingo";"ingo.musterbach@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterbachstraße 1";"privat";"Mutter";"0123-1102050";"0123-1102050"
1026;"Frau";"Sehr geehrte/r Frau Probeberg";;"Probeberg";"Doris";"doris.probeberg@example.com";"Herr";"Sehr geehrte/r Herr Probeberg";;"Probeberg";"Jens";"jens.probeberg@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probebergstraße 1";"privat";"Mutter";"0123-1102052";"0123-1102052"
1027;"Frau";"Sehr geehrte/r Frau Probierdorf";;"Probierdorf";"Doris";"doris.probierdorf@example.com";"Herr";"Sehr geehrte/r Herr Probierdorf";;"Probierdorf";"Bernd";"bernd.probierdorf@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probierdorfstraße 1";"privat";"Mutter";"0123-1102054";"0123-1102054"
1028;"Frau";"Sehr geehrte/r Frau Beispiel";;"Beispiel";"Nicole";"nicole.beispiel@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Beispielstraße 1";"privat";"Mutter";"0123-1102056";"0123-1102056"
1029;"Frau";"Sehr geehrte/r Frau Probierdorf";;"Probierdorf";"Hilde";"hilde.probierdorf@example.com";"Herr";"Sehr geehrte/r Herr Probierdorf";;"Probierdorf";"Andreas";"andreas.probierdorf@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probierdorfstraße 1";"privat";"Mutter";"0123-1102058";"0123-1102058"
1030;"Frau";"Sehr geehrte/r Frau Demohaus";;"Demohaus";"Sabine";"sabine.demohaus@example.com";"Herr";"Sehr geehrte/r Herr Demohaus";;"Demohaus";"Ingo";"ingo.demohaus@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demohausstraße 1";"privat";"Mutter";"0123-1102060";"0123-1102060"
1031;"Frau";"Sehr geehrte/r Frau Demonstrant";;"Demonstrant";"Elke";"elke.demonstrant@example.com";"Herr";"Sehr geehrte/r Herr Demonstrant";;"Demonstrant";"Manfred";"manfred.demonstrant@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demonstrantstraße 1";"privat";"Mutter";"0123-1102062";"0123-1102062"
1032;"Frau";"Sehr geehrte/r Frau Probemann";;"Probemann";"Ute";"ute.probemann@example.com";"Herr";"Sehr geehrte/r Herr Probemann";;"Probemann";"Jens";"jens.probemann@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probemannstraße 1";"privat";"Mutter";"0123-1102064";"0123-1102064"
1033;"Frau";"Sehr geehrte/r Frau Demohaus";;"Demohaus";"Jutta";"jutta.demohaus@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demohausstraße 1";"privat";"Mutter";"0123-1102066";"0123-1102066"
1034;"Frau";"Sehr geehrte/r Frau Musterstein";;"Musterstein";"Martina";"martina.musterstein@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Mustersteinstraße 1";"privat";"Mutter";"0123-1102068";"0123-1102068"
1035;"Frau";"Sehr geehrte/r Frau Demoschüler";;"Demoschüler";"Ute";"ute.demoschueler@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demoschülerstraße 1";"privat";"Mutter";"0123-1102070";"0123-1102070"
1036;"Frau";"Sehr geehrte/r Frau Musterhuber";;"Musterhuber";"Anna";"anna.musterhuber@example.com";"Herr";"Sehr geehrte/r Herr Musterhuber";;"Musterhuber";"Udo";"udo.musterhuber@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterhuberstraße 1";"privat";"Mutter";"0123-1102072";"0123-1102072"
1037;"Frau";"Sehr geehrte/r Frau Probierdorf";;"Probierdorf";"Anna";"anna.probierdorf@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probierdorfstraße 1";"privat";"Mutter";"0123-1102074";"0123-1102074"
1038;"Frau";"Sehr geehrte/r Frau Probst";;"Probst";"Karin";"karin.probst@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probststraße 1";"privat";"Mutter";"0123-1102076";"0123-1102076"
1039;"Frau";"Sehr geehrte/r Frau Testmeier";;"Testmeier";"Sabine";"sabine.testmeier@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Testmeierstraße 1";"privat";"Mutter";"0123-1102078";"0123-1102078"
1040;"Frau";"Sehr geehrte/r Frau Testheim";;"Testheim";"Irene";"irene.testheim@example.com";"Herr";"Sehr geehrte/r Herr Testheim";;"Testheim";"Heinz";"heinz.testheim@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Testheimstraße 1";"privat";"Mutter";"0123-1102080";"0123-1102080"
1041;"Frau";"Sehr geehrte/r Frau Probierdorf";;"Probierdorf";"Gabriele";"gabriele.probierdorf@example.com";"Herr";"Sehr geehrte/r Herr Probierdorf";;"Probierdorf";"Olaf";"olaf.probierdorf@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probierdorfstraße 1";"privat";"Mutter";"0123-1102082";"0123-1102082"
1042;"Frau";"Sehr geehrte/r Frau Musterling";;"Musterling";"Doris";"doris.musterling@example.com";"Herr";"Sehr geehrte/r Herr Musterling";;"Musterling";"Klaus";"klaus.musterling@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterlingstraße 1";"privat";"Mutter";"0123-1102084";"0123-1102084"
1043;"Frau";"Sehr geehrte/r Frau Beispielson";;"Beispielson";"Irene";"irene.beispielson@example.com";"Herr";"Sehr geehrte/r Herr Beispielson";;"Beispielson";"Jens";"jens.beispielson@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Beispielsonstraße 1";"privat";"Mutter";"0123-1102086";"0123-1102086"
1044;"Frau";"Sehr geehrte/r Frau Beispiel";;"Beispiel";"Renate";"renate.beispiel@example.com";"Herr";"Sehr geehrte/r Herr Beispiel";;"Beispiel";"Stefan";"stefan.beispiel@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Beispielstraße 1";"privat";"Mutter";"0123-1102088";"0123-1102088"
1045;"Frau";"Sehr geehrte/r Frau Beispielberg";;"Beispielberg";"Irene";"irene.beispielberg@example.com";"Herr";"Sehr geehrte/r Herr Beispielberg";;"Beispielberg";"Erik";"erik.beispielberg@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Beispielbergstraße 1";"privat";"Mutter";"0123-1102090";"0123-1102090"
1046;"Frau";"Sehr geehrte/r Frau Demohaus";;"Demohaus";"Irene";"irene.demohaus@example.com";"Herr";"Sehr geehrte/r Herr Demohaus";;"Demohaus";"Klaus";"klaus.demohaus@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demohausstraße 1";"privat";"Mutter";"0123-1102092";"0123-1102092"
1047;"Frau";"Sehr geehrte/r Frau Sampleberg";;"Sampleberg";"Doris";"doris.sampleberg@example.com";"Herr";"Sehr geehrte/r Herr Sampleberg";;"Sampleberg";"Erik";"erik.sampleberg@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Samplebergstraße 1";"privat";"Mutter";"0123-1102094";"0123-1102094"
1048;"Frau";"Sehr geehrte/r Frau Musterbach";;"Musterbach";"Ute";"ute.musterbach@example.com";"Herr";"Sehr geehrte/r Herr Musterbach";;"Musterbach";"Stefan";"stefan.musterbach@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterbachstraße 1";"privat";"Mutter";"0123-1102096";"0123-1102096"
1049;"Frau";"Sehr geehrte/r Frau Musterling";;"Musterling";"Karin";"karin.musterling@example.com";"Herr";"Sehr geehrte/r Herr Musterling";;"Musterling";"Klaus";"klaus.musterling@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterlingstraße 1";"privat";"Mutter";"0123-1102098";"0123-1102098"
1050;"Frau";"Sehr geehrte/r Frau Demohaus";;"Demohaus";"Lisa";"lisa.demohaus@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demohausstraße 1";"privat";"Mutter";"0123-1102100";"0123-1102100"
1051;"Frau";"Sehr geehrte/r Frau Demosohn";;"Demosohn";"Nicole";"nicole.demosohn@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demosohnstraße 1";"privat";"Mutter";"0123-1102102";"0123-1102102"
1052;"Frau";"Sehr geehrte/r Frau Musterbach";;"Musterbach";"Karin";"karin.musterbach@example.com";"Herr";"Sehr geehrte/r Herr Musterbach";;"Musterbach";"Lutz";"lutz.musterbach@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterbachstraße 1";"privat";"Mutter";"0123-1102104";"0123-1102104"
1053;"Frau";"Sehr geehrte/r Frau Sampleberg";;"Sampleberg";"Gabriele";"gabriele.sampleberg@example.com";"Herr";"Sehr geehrte/r Herr Sampleberg";;"Sampleberg";"Norbert";"norbert.sampleberg@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Samplebergstraße 1";"privat";"Mutter";"0123-1102106";"0123-1102106"
1054;"Frau";"Sehr geehrte/r Frau Sample";;"Sample";"Martina";"martina.sample@example.com";"Herr";"Sehr geehrte/r Herr Sample";;"Sample";"Stefan";"stefan.sample@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Samplestraße 1";"privat";"Mutter";"0123-1102108";"0123-1102108"
1055;"Frau";"Sehr geehrte/r Frau Musterbach";;"Musterbach";"Birgit";"birgit.musterbach@example.com";"Herr";"Sehr geehrte/r Herr Musterbach";;"Musterbach";"Ingo";"ingo.musterbach@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterbachstraße 1";"privat";"Mutter";"0123-1102110";"0123-1102110"
1056;"Frau";"Sehr geehrte/r Frau Testmeier";;"Testmeier";"Franziska";"franziska.testmeier@example.com";"Herr";"Sehr geehrte/r Herr Testmeier";;"Testmeier";"Erik";"erik.testmeier@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Testmeierstraße 1";"privat";"Mutter";"0123-1102112";"0123-1102112"
1057;"Frau";"Sehr geehrte/r Frau Beispiel";;"Beispiel";"Nicole";"nicole.beispiel@example.com";"Herr";"Sehr geehrte/r Herr Beispiel";;"Beispiel";"Erik";"erik.beispiel@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Beispielstraße 1";"privat";"Mutter";"0123-1102114";"0123-1102114"
1058;"Frau";"Sehr geehrte/r Frau Beispiel";;"Beispiel";"Franziska";"franziska.beispiel@example.com";"Herr";"Sehr geehrte/r Herr Beispiel";;"Beispiel";"Rolf";"rolf.beispiel@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Beispielstraße 1";"privat";"Mutter";"0123-1102116";"0123-1102116"
1059;"Frau";"Sehr geehrte/r Frau Demonstrant";;"Demonstrant";"Tina";"tina.demonstrant@example.com";"Herr";"Sehr geehrte/r Herr Demonstrant";;"Demonstrant";"Norbert";"norbert.demonstrant@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demonstrantstraße 1";"privat";"Mutter";"0123-1102118";"0123-1102118"
1060;"Frau";"Sehr geehrte/r Frau Musterstein";;"Musterstein";"Gabriele";"gabriele.musterstein@example.com";"Herr";"Sehr geehrte/r Herr Musterstein";;"Musterstein";"Gerd";"gerd.musterstein@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Mustersteinstraße 1";"privat";"Mutter";"0123-1102120";"0123-1102120"
