Interne ID-Nummer;Nachname;Vorname;Klasse;Klassenlehrer;Geburtsdatum;Geschlecht;vorauss. Abschlussdatum;Aufnahmedatum;Entlassdatum;Volljährig;Schulpflicht erfüllt;Status;Straße;Ortsname;Postleitzahl;Telefon-Nr.;Fax-Nr.;E-Mail (privat)
1015;Probstmeier;Vera;BK01A;Müller;04.08.2005;W;30.06.2027;01.08.2024;;Ja;Ja;2;Demoplatz 40;Musterstadt;12345;0123-1001015;;vera.probstmeier@example.com
1016;Demonstrant;Olga;BK01A;Müller;03.09.2008;W;30.06.2027;01.08.2024;;Nein;Nein;2;Sampleweg 166;Musterstadt;12345;0123-1001016;;olga.demonstrant@example.com
1017;Musterstein;Georg;BK01B;Beispiel;01.03.2008;M;30.06.2027;01.08.2024;;Nein;Nein;2;Sampleweg 133;Musterstadt;12345;0123-1001017;;georg.musterstein@example.com
1018;Testmeier;Andreas;BK01B;Beispiel;18.07.2006;M;30.06.2027;01.08.2024;;Ja;Ja;2;Testheimstraße 79;Musterstadt;12345;0123-1001018;;andreas.testmeier@example.com
1019;Musterhuber;Elena;BK01B;Beispiel;06.06.2006;W;30.06.2027;01.08.2024;;Ja;Ja;2;Musterring 31;Musterstadt;12345;0123-1001019;;elena.musterhuber@example.com
1020;Beispiel;Otto;BK01B;Beispiel;15.11.2003;M;30.06.2027;01.08.2024;;Ja;Ja;2;Demoplatz 7;Musterstadt;12345;0123-1001020;;otto.beispiel@example.com
1021;Musterbach;Hans;BK01B;Beispiel;09.09.2008;M;30.06.2027;01.08.2024;;Nein;Nein;2;Sampleweg 146;Musterstadt;12345;0123-1001021;;hans.musterbach@example.com
1022;Musterling;Greta;BK01B;Beispiel;04.11.2004;W;30.06.2027;01.08.2024;;Ja;Ja;2;Probierweg 185;Musterstadt;12345;0123-1001022;;greta.musterling@example.com
1023;Probemann;Tim;BK01B;Beispiel;09.05.2004;M;30.06.2027;01.08.2024;;Ja;Ja;2;Sample-Park 199;Musterstadt;12345;0123-1001023;;tim.probemann@example.com
1024;Demoschüler;Ulf;BK01B;Beispiel;22.09.2003;M;30.06.2027;01.08.2024;;Ja;Ja;2;Probierweg 81;Musterstadt;12345;0123-1001024;;ulf.demoschueler@example.com
1025;Musterbach;Wilma;BK01B;Beispiel;20.08.2004;W;30.06.2027;01.08.2024;;Ja;Ja;2;Demoring 176;Musterstadt;12345;0123-1001025;;wilma.musterbach@example.com
1026;Probeberg;Dora;BK01B;Beispiel;14.01.2008;W;30.06.2027;01.08.2024;;Nein;Nein;2;Demohausallee 75;Musterstadt;12345;0123-1001026;;dora.probeberg@example.com
1027;Probierdorf;Bella;BK01B;Beispiel;07.09.2005;W;30.06.2027;01.08.2024;;Ja;Ja;2;Demoring 42;Musterstadt;12345;0123-1001027;;bella.probierdorf@example.com
1028;Beispiel;Vera;BK01B;Beispiel;19.03.2006;W;30.06.2027;01.08.2024;;Ja;Ja;2;Testheimstraße 97;Musterstadt;12345;0123-1001028;;vera.beispiel@example.com
1029;Probierdorf;Leo;BK01B;Beispiel;22.12.2003;M;30.06.2027;01.08.2024;;Ja;Ja;2;Testheimstraße 66;Musterstadt;12345;0123-1001029;;leo.probierdorf@example.com
1030;Demohaus;Sophie;BK01B;Beispiel;09.06.2006;W;30.06.2027;01.08.2024;;Ja;Ja;2;Teststraße 46;Musterstadt;12345;0123-1001030;;sophie.demohaus@example.com
1031;Demonstrant;Dora;BK02A;Muster;21.04.2002;W;30.06.2026;01.08.2023;;Ja;Ja;2;Probestraße 174;Musterstadt;12345;0123-1001031;;dora.demonstrant@example.com
1032;Probemann;Simon;BK02A;Muster;12.06.2003;M;30.06.2026;01.08.2023;;Ja;Ja;2;Musterring 141;Musterstadt;12345;0123-1001032;;simon.probemann@example.com
1033;Demohaus;Julia;BK02A;Muster;12.09.2002;W;30.06.2026;01.08.2023;;Ja;Ja;2;Beispielweg 164;Musterstadt;12345;0123-1001033;;julia.demohaus@example.com
1034;Musterstein;Ida;BK02A;Muster;04.01.2007;W;30.06.2026;01.08.2023;;Ja;Ja;2;Musterbachstraße 147;Musterstadt;12345;0123-1001034;;ida.musterstein@example.com
1035;Demoschüler;Ingo;BK02A;Muster;05.12.2002;M;30.06.2026;01.08.2023;;Ja;Ja;2;Beispielsdorfer Weg 80;Musterstadt;12345;0123-1001035;;ingo.demoschueler@example.com
1036;Musterhuber;Kai;BK02A;Muster;18.05.2004;M;30.06.2026;01.08.2023;;Ja;Ja;2;Testheimstraße 49;Musterstadt;12345;0123-1001036;;kai.musterhuber@example.com
1037;Probierdorf;Zoe;BK02A;Muster;24.09.2003;W;12.07.2026;01.08.2023;12.07.2026;Ja;Ja;8;Demohausallee 139;Musterstadt;12345;0123-1001037;;zoe.probierdorf@example.com
1038;Probst;Zeno;BK02A;Muster;10.04.2004;M;30.06.2026;01.08.2023;;Ja;Ja;2;Probestraße 33;Musterstadt;12345;0123-1001038;;zeno.probst@example.com
1039;Testmeier;Andreas;BK02A;Muster;10.11.2006;M;30.06.2026;01.08.2023;;Ja;Ja;2;Beispielplatz 128;Musterstadt;12345;0123-1001039;;andreas.testmeier@example.com
1040;Testheim;Inga;BK02A;Muster;03.02.2004;W;30.06.2026;01.08.2023;;Ja;Ja;2;Teststraße 127;Musterstadt;12345;0123-1001040;;inga.testheim@example.com
1041;Probierdorf;Marie;BK02A;Muster;11.12.2004;W;30.06.2026;01.08.2023;;Ja;Ja;2;Beispielplatz 104;Musterstadt;12345;0123-1001041;;marie.probierdorf@example.com
1042;Musterling;Zoe;BK02A;Muster;13.04.2006;W;30.06.2026;01.08.2023;;Ja;Ja;2;Musterallee 111;Musterstadt;12345;0123-1001042;;zoe.musterling@example.com
1043;Beispielson;Rita;BK02A;Muster;21.05.2006;W;30.06.2026;01.08.2023;;Ja;Ja;2;Musterallee 144;Musterstadt;12345;0123-1001043;;rita.beispielson@example.com
1044;Beispiel;Diana;BK02A;Muster;23.06.2006;W;30.06.2026;01.08.2023;;Ja;Ja;2;Demohausallee 25;Musterstadt;12345;0123-1001044;;diana.beispiel@example.com
1045;Beispielberg;Zoe;BK02A;Muster;02.07.2004;W;30.06.2026;01.08.2023;;Ja;Ja;2;Musterstraße 69;Musterstadt;12345;0123-1001045;;zoe.beispielberg@example.com
1046;Demohaus;Johanna;BK02B;Sampleberg;01.01.2004;W;30.06.2026;01.08.2023;;Ja;Ja;2;Demoring 170;Musterstadt;12345;0123-1001046;;johanna.demohaus@example.com
1047;Sampleberg;Frank;BK02B;Sampleberg;20.11.2004;M;30.06.2026;01.08.2023;;Ja;Ja;2;Sampleweg 138;Musterstadt;12345;0123-1001047;;frank.sampleberg@example.com
1048;Musterbach;Nele;BK02B;Sampleberg;06.12.2007;W;30.06.2026;01.08.2023;;Ja;Ja;2;Sample-Park 183;Musterstadt;12345;0123-1001048;;nele.musterbach@example.com
1049;Musterling;Simon;BK02B;Sampleberg;06.09.2002;M;30.06.2026;01.08.2023;;Ja;Ja;2;Probestraße 121;Musterstadt;12345;0123-1001049;;simon.musterling@example.com
1050;Demohaus;Rita;BK02B;Sampleberg;27.05.2004;W;12.07.2026;01.08.2023;12.07.2026;Ja;Ja;8;Beispielplatz 35;Musterstadt;12345;0123-1001050;;rita.demohaus@example.com
1051;Demosohn;Mara;BK02B;Sampleberg;17.12.2004;W;30.06.2026;01.08.2023;;Ja;Ja;2;Sampleweg 149;Musterstadt;12345;0123-1001051;;mara.demosohn@example.com
1052;Musterbach;Johanna;BK02B;Sampleberg;28.09.2002;W;30.06.2026;01.08.2023;;Ja;Ja;2;Demohausallee 126;Musterstadt;12345;0123-1001052;;johanna.musterbach@example.com
1053;Sampleberg;Robert;BK02B;Sampleberg;28.07.2006;M;30.06.2026;01.08.2023;;Ja;Ja;2;Sampleweg 8;Musterstadt;12345;0123-1001053;;robert.sampleberg@example.com
1054;Sample;Ingo;BK02B;Sampleberg;25.12.2004;M;30.06.2026;01.08.2023;;Ja;Ja;2;Demohausallee 94;Musterstadt;12345;0123-1001054;;ingo.sample@example.com
1055;Musterbach;Jonas;BK02B;Sampleberg;23.03.2006;M;30.06.2026;01.08.2023;;Ja;Ja;2;Musterallee 169;Musterstadt;12345;0123-1001055;;jonas.musterbach@example.com
1056;Testmeier;Ivo;BK02B;Sampleberg;23.06.2006;M;30.06.2026;01.08.2023;;Ja;Ja;2;Demoplatz 48;Musterstadt;12345;0123-1001056;;ivo.testmeier@example.com
1057;Beispiel;Sophie;BK02B;Sampleberg;08.09.2004;W;30.06.2026;01.08.2023;;Ja;Ja;2;Teststraße 120;Musterstadt;12345;0123-1001057;;sophie.beispiel@example.com
1058;Beispiel;Georg;BK02B;Sampleberg;04.06.2002;M;30.06.2026;01.08.2023;;Ja;Ja;2;Beispielsdorfer Weg 85;Musterstadt;12345;0123-1001058;;georg.beispiel@example.com
1059;Demonstrant;Dieter;BK02B;Sampleberg;07.03.2005;M;30.06.2026;01.08.2023;;Ja;Ja;2;Beispielplatz 55;Musterstadt;12345;0123-1001059;;dieter.demonstrant@example.com
1060;Musterstein;Amelie;BK02B;Sampleberg;10.11.2003;W;30.06.2026;01.08.2023;;Ja;Ja;2;Beispielplatz 24;Musterstadt;12345;0123-1001060;;amelie.musterstein@example.com
